"state_m","gender_m","city_m","OPEN_DT","empstat","age","p_churn"
"NV","F","Las Vegas","10OCT2013","fulltime","          46","0.7835568803"
"CO","M","Denver","04JUN2013","fulltime","          28","0.3247766482"
"CA","F","San Jose","07MAR2013","fulltime","          26","0.9533520047"
"Nevada","M","Las Vegas","31OCT2012","fulltime","          42","0.8540660938"
"Nevada","M","Las Vegas","06JUL2013","fulltime","          29","0.2029972496"
"ID","M","BOISE","05APR2012","fulltime","          34"," 0.598077765"
"Wyoming","F","CHeyenne","05MAR2012","parttime","          36","0.2850103259"
"AZ","M","Phoenix","04MAY2012","fulltime","          29","0.6098569448"
"WA","F","Seatlle","30JUN2012","fulltime","          30","0.7940904045"
"OR","F","PORTland","01JAN2012","other","          28","0.8089847755"
"ID","M","BOISE","06NOV2012","parttime","          61","0.7187409768"
"WA","M","Seattle","15SEP2013","fulltime","          32","0.4830412629"
"Nevada","M","Las Vegas","18MAY2014","fulltime","          52","0.7007780786"
"Wyoming","M","CHeyenne","05OCT2013","parttime","          31","0.9658358097"
"ID","F","BOISE","01JUN2012","fulltime","          45","0.3024389848"
"WA","F","Seatlle","01APR2013","fulltime","          43","0.1792772539"
"CA","F","San Diego","28NOV2013","fulltime","          37","0.2269208586"
"ID","F","BOISE","09MAY2013","fulltime","          38","0.3776956472"
"CO","F","Denver","30MAR2013","fulltime","          37","0.7781510329"
"Washington","F","Seatlle","24APR2013","fulltime","          42"," 0.098236912"
"UT","M","provo","20MAR2013","fulltime","          26","0.8156143426"
"CO","F","Denver","05DEC2013","parttime","          28","0.6879305661"
"CA","F","San Jose","15MAR2012","fulltime","          55","0.9831679561"
"UT","M","provo","15SEP2013","fulltime","          28","0.6418124547"
"CA","F","Los Angeles","01OCT2012","fulltime","          35","0.2090285189"
"CO","M","Denver","05APR2012","parttime","          37","0.9511672589"
"CA","F","San Francisco","05APR2012","fulltime","          42","0.6951275997"
"ID","M","BOISE","21MAY2014","parttime","          63","0.9983867845"
"CA","F","San Francisco","18DEC2012","fulltime","          36","0.2777721282"
"CO","M","Denver","08OCT2012","parttime","          29","0.8952295812"
"AZ","M","Phoenix","15MAR2012","fulltime","          27","0.8478006305"
"CA","M","Los Angeles","15MAY2014","fulltime","          43","0.5002976821"
"CA","F","San Jose","01JUN2012","fulltime","          55","0.1319727335"
"OR","M","PORTland","10JUL2013","other","          29","0.7474232008"
"CA","M","San Francisco","06DEC2012","fulltime","          57","0.3265691857"
"Wyoming","M","CHeyenne","30MAR2012","parttime","          37","0.9980285973"
"ID","M","BOISE","29MAR2014","fulltime","          36","0.5910278506"
"CA","M","San Francisco","05SEP2013","fulltime","          28","0.6398338841"
"WY","M","CHeyenne","19JAN2014","parttime","          52","0.2846330359"
"Washington","M","Seattle","08MAY2013","fulltime","          45","0.9499214575"
"CA","M","San Diego","18DEC2012","fulltime","          31","0.0400383496"
"CA","Female","Los Angeles","19FEB2013","fulltime","          38","0.6561790861"
"ID","M","BOISE","13JAN2014","fulltime","          28","0.0646557692"
"AZ","F","Phoenix","08MAR2012","fulltime","          28","0.8458964708"
"Nevada","M","Las Vegas","11AUG2013","fulltime","          28","0.2519409239"
"CA","M","Los Angeles","19FEB2013","fulltime","          31","0.9040578729"
"Arizona","M","Phoenix","05APR2012","fulltime","          28","0.8505819458"
"Nevada","M","Las Vegas","15MAR2012","fulltime","          39","0.1062275032"
"ID","M","BOISE","06APR2014","parttime","          30","0.8992510316"
"CA","Male","Los Angeles","22MAY2014","fulltime","          32","0.5231154815"
"CA","M","San Diego","08JUN2012","fulltime","          31","0.9625190892"
"Nevada","F","Las Vegas","25OCT2012","fulltime","          29","0.1092551579"
"UT","M","provo","15SEP2013","fulltime","          38","0.7766699124"
"CA","M","San Francisco","21NOV2012","fulltime","          34","0.5061646279"
"ID","M","BOISE","08MAR2012","parttime","          29"," 0.922884616"
"ID","M","BOISE","05DEC2013","parttime","          33","0.3307581494"
"Wyoming","F","CHeyenne","20MAR2013","parttime","          37","0.1166029326"
"WA","M","Seattle","26JAN2012","fulltime","          28"," 0.496564382"
"WY","F","CHeyenne","27OCT2013","parttime","          30","0.9779697005"
"CO","M","Denver","15FEB2014","parttime","          29","0.2186131828"
"UT","F","provo","10OCT2013","fulltime","          45","0.4708301925"
"UT","F","provo","01JUN2012","fulltime","          28"," 0.329333523"
"AZ","M","Tucson","30MAR2013","fulltime","          26","0.4236939537"
"CA","F","San Francisco","05MAR2012","fulltime","          40","0.6133473458"
"CA","M","San Jose","31OCT2012","fulltime","          53","0.7868766434"
"AZ","F","Tucson","29MAR2014","fulltime","          28","0.7596869565"
"Wyoming","M","CHeyenne","04AUG2013","parttime","          29","0.3232871091"
"Arizona","F","Phoenix","09FEB2014","fulltime","          28","0.8759180153"
"CA","Man","Los Angeles","11AUG2013","fulltime","          42","0.3828692592"
"WY","M","CHeyenne","30MAR2012","parttime","          46","0.0022470155"
"CA","M","San Diego","20MAR2013","fulltime","          32"," 0.546168017"
"ID","F","BOISE","30MAR2012","parttime","          37","0.8227269234"
"Wyoming","M","CHeyenne","20JUN2013","parttime","          40"," 0.552284281"
"Wyoming","M","CHeyenne","21NOV2012","parttime","          38","0.0210211575"
"CA","M","San Francisco","15DEC2012","fulltime","          30","0.0443461975"
"CA","F","San Jose","13AUG2013","fulltime","          34","0.8512666141"
"Wyoming","M","CHeyenne","28MAR2014","parttime","          37","0.9799665389"
"OR","F","PORTland","16MAY2013","other","          33","0.1938254168"
"Arizona","M","Phoenix","15NOV2013","other","          29","0.0525701288"
"CA","F","San Jose","19SEP2013","fulltime","          48","0.6668870797"
"CA","Female","Los Angeles","20MAR2013","fulltime","          29","0.2166098241"
"UT","F","provo","26JAN2012","fulltime","          30","0.0543431929"
"Washington","F","Seatlle","10NOV2013","fulltime","          34","0.9013698445"
"OR","F","PORTland","25AUG2012","other","          48","0.6049957534"
"CA","M","Los Angeles","19FEB2013","fulltime","          28","  0.15559384"
"Wyoming","F","CHeyenne","30MAR2013","parttime","          28","0.4231246335"
"OR","M","PORTland","05JAN2012","other","          28","0.8779196264"
